	k	chi1	chi1_max	chi2	chi2_max	chi_index
0	2	179.7268152408339	200	275.31608636452046	200	1.7972681524083391
1	3	461.0245544801599	600	447.19864176570456	600	1.4906621392190154
2	4	651.1972498142151	1200	471.1285714285714	1200	0.7852142857142856
3	5	864.984343341315	2000	484.4799999999999	2000	0.4844799999999999
